Record Link ID,Added Time,IP Address,Branch,Ticket ID,Order ID,File name,File name 2,Flag,Please upload a clear picture of the order screen on the customer's phone.,Please upload a clear picture of the rating and review screen on the customer's phone.
2.47E+17,28-02-2026 16:39,,,2013166619,OD436896663242084100,2.47E+17,2.47E+17,,246572000000016066/ImageUpload/WhatsApp_Image_2026-02-28_at_4.35.59_PM.jpeg,246572000000016066/ImageUpload1/WhatsApp_Image_2026-02-28_at_1.16.21_PM.jpeg
2.47E+17,28-02-2026 15:30,,,2013168366,4.02E+16,2.47E+17,2.47E+17,,246572000000017039/ImageUpload/WhatsApp_Image_2026-02-28_at_3.09.20_PM.jpeg,246572000000017039/ImageUpload1/WhatsApp_Image_2026-02-28_at_3.10.14_PM.jpeg
2.47E+17,28-02-2026 19:33,,,2013161898,Od436885134177649100,2.47E+17,2.47E+17,,246572000000018030/ImageUpload/17722873372724726542522866463739.jpg,246572000000018030/ImageUpload1/17722873859903945023520429255159.jpg
2.47E+17,01-04-2026 09:27,,Jamshedpur,2013339100,OD337140148051662100,2.47E+17,2.47E+17,,246572000000087235/ImageUpload/1000197964.jpg,246572000000087235/ImageUpload1/1000197850.jpg
2.47E+17,01-04-2026 09:32,,Jamshedpur,2013344303,0D337122575350022100,2.47E+17,2.47E+17,,246572000000087244/ImageUpload/1000197765.jpg,246572000000087244/ImageUpload1/1000197764.jpg
2.47E+17,01-04-2026 10:10,,Karnal,2013344544,#OD337137955124680100,2.47E+17,2.47E+17,,246572000000087253/ImageUpload/11___11___11.jpeg,246572000000087253/ImageUpload1/11____11.jpeg
2.47E+17,01-04-2026 11:29,,Chennai,2013338809,OD337147868511929100,2.47E+17,2.47E+17,,246572000000087262/ImageUpload/1000200618.jpg,246572000000087262/ImageUpload1/1000200622.jpg
2.47E+17,01-04-2026 13:09,,Bangalore,2013343868,3.37E+17,2.47E+17,2.47E+17,,246572000000087271/ImageUpload/WhatsApp_Image_2026-03-31_at_4.08.50_PM.jpeg,246572000000087271/ImageUpload1/WhatsApp_Image_2026-04-01_at_1.09.42_PM.jpeg
2.47E+17,01-04-2026 13:10,,Bangalore,2013356512,403-1035435-7341953,2.47E+17,2.47E+17,,246572000000087280/ImageUpload/WhatsApp_Image_2026-04-01_at_12.29.06_PM_1_.jpeg,246572000000087280/ImageUpload1/WhatsApp_Image_2026-04-01_at_12.29.06_PM.jpeg
2.47E+17,01-04-2026 13:14,,Bangalore,2013321377,3.37E+17,2.47E+17,2.47E+17,,246572000000087289/ImageUpload/WhatsApp_Image_2026-03-29_at_12.26.24_PM.jpeg,246572000000087289/ImageUpload1/WhatsApp_Image_2026-03-29_at_12.26.25_PM.jpeg
2.47E+17,01-04-2026 13:20,,Bangalore,2013349248,407-4005843- 9841125,2.47E+17,2.47E+17,,246572000000087298/ImageUpload/WhatsApp_Image_2026-03-30_at_8.46.50_PM_1_.jpeg,246572000000087298/ImageUpload1/WhatsApp_Image_2026-03-30_at_8.46.50_PM.jpeg
2.47E+17,01-04-2026 13:22,,Bangalore,2013343840,OD337153401833594100,2.47E+17,2.47E+17,,246572000000087307/ImageUpload/WhatsApp_Image_2026-03-31_at_12.09.32_PM_1_.jpeg,246572000000087307/ImageUpload1/WhatsApp_Image_2026-03-31_at_12.09.32_PM_2_.jpeg
2.47E+17,01-04-2026 13:28,,Bangalore,2013346877,OD437148671679378100,2.47E+17,2.47E+17,,246572000000087316/ImageUpload/WhatsApp_Image_2026-04-01_at_1.27.16_PM.jpeg,246572000000087316/ImageUpload1/WhatsApp_Image_2026-03-31_at_3.06.03_PM.jpeg
