sno,added_time,branch,ticket_id,Zoho_order_ID,file_order_id,service_rating,product_rating,file_star,file_name,pipeline_flag,remarks_file_order_id,remarks_file_star
27505,,,,,,,,,246572000000016066,PENDING,,
27506,,,,,402-2799611-0609959,,,5.0,246572000000017039,OK,Extracted by RapidOCR,5
27507,,,,,,,,,246572000000018030,PENDING,,
27508,,,,,,,,,246572000000087235,PENDING,,
27509,,,,,,,,,246572000000087244,PENDING,,
27510,,,,,,,,,246572000000087253,PENDING,,
27511,,,,,,,,,246572000000087262,PENDING,,
27512,,,,,,,,,246572000000087271,PENDING,,
27513,,,,,,,,,246572000000087280,PENDING,,
27514,,,,,,,,,246572000000087289,PENDING,,
